serial,gross,genre,dir_rep,actor_rep,actress_rep,villain_rep,movie_likes,trailer_likes,poster_likes,budget,language,country,year
85385,3.62,6920614,8,8,1,6,9457,7517,762,2354753,204,284,1996
85386,3.71,27085442,10,2,2,4,6439,6152,4157,3982644,279,160,1934
85387,3.45,13770837,11,2,5,3,1447,5499,9273,4795595,128,10,1911
85388,1.99,3223396,6,4,6,3,6628,3918,6653,7040814,55,280,1996
85389,3.51,8086663,4,1,9,7,8837,8793,2877,7463307,138,266,1829
85390,3.65,12768422,5,8,7,9,5611,1879,3392,4952938,67,297,1850
85391,2.94,20399600,9,2,7,9,9357,6938,9166,4492134,111,264,1927
85392,2.96,29626551,1,4,6,9,8367,6984,1118,4721011,69,132,1806
85393,2.01,16076627,3,5,4,4,8633,4577,7557,9073936,49,266,1965
85394,3.86,23400732,1,7,8,7,5843,7536,2747,3310342,49,94,1908
85395,3.73,28993197,12,7,8,9,9425,9824,7206,8664823,182,6,1915
85396,2.09,24724896,7,6,3,2,4511,8573,7183,6449696,275,3,1947
85397,1.87,3394795,14,6,7,4,7967,6387,5714,9609416,164,254,1885
85398,3.81,15041485,9,7,4,3,6205,1732,4687,8216590,74,172,2011
85399,3.23,5459699,14,3,2,2,2719,6947,2120,4329874,16,117,1823
85400,1.68,4390203,13,5,1,6,9628,7546,2138,1856361,1,31,1816
85401,2.46,11652068,14,1,3,4,369,515,3233,3062295,147,73,1801
85402,2.08,4796993,13,2,3,9,1339,2651,3296,1324454,28,138,1923
85403,2.51,4145680,4,5,6,1,8511,4100,7701,7928889,45,66,1875
85404,2.71,99026,1,1,5,6,2211,5193,2803,5075965,232,19,1831
85405,1.86,9659816,13,2,4,6,2953,7099,2330,6865723,207,237,1984
85406,3.06,12826207,8,3,5,8,3948,9830,5409,95920,100,117,1994
85407,2.43,5809417,11,1,1,2,292,4132,7252,5354467,249,40,1924
85408,1.62,14902832,14,8,9,1,1050,6663,3841,6564995,180,60,2008
85409,1.75,6874125,11,1,4,2,923,1705,4675,2951118,47,219,1933
85410,3.88,12133120,9,8,6,8,8023,1201,7358,405932,209,257,1933
85411,3.54,11943801,5,9,2,7,8786,5609,619,2862945,125,93,1920
85412,1.56,1490842,12,7,6,8,991,1506,8238,8894907,97,114,2002
85413,2.94,6574080,14,4,5,8,8632,2870,6669,814247,268,127,1928
85414,2.88,28334946,6,3,6,8,1806,6047,4928,7799041,260,211,1815
85415,3.75,3069248,4,1,5,7,6951,1921,6215,961801,35,62,1864
85416,2.75,19764006,4,8,3,2,4070,4163,8053,9819724,90,197,1840
85417,2.2,15160912,9,3,2,8,3979,8544,7768,8881022,174,48,1854
85418,2.56,27607339,7,8,3,4,2806,1272,2532,1361001,285,271,1949
85419,1.62,15715086,3,5,3,8,7737,8707,8280,9217281,220,297,1987
85420,3.43,21212164,3,8,1,9,3699,5918,2313,797608,141,128,1909
85421,3.09,7804584,11,1,6,3,527,9106,6750,576840,191,229,1937
85422,3.43,17658788,8,8,7,8,3222,5342,3980,7674596,213,87,1802
85423,3.79,9961579,7,9,3,3,222,5103,1140,4794701,98,224,1995
85424,3.36,1566722,7,7,3,8,2955,1996,9751,5911708,60,197,1955
85425,3.09,18690008,3,5,3,9,725,8965,3709,8589508,10,207,1818
85426,2.97,28944407,11,8,5,7,4033,1701,7688,9298350,1,221,2000
85427,2.86,18747646,2,2,1,4,3509,5316,6175,7838247,123,134,1934
85428,3.31,4747814,10,7,6,1,1125,7791,7219,4901421,264,7,1890
85429,2.13,28221873,11,6,3,2,8277,9575,6892,7432228,175,40,1909
85430,2.85,26726936,11,6,5,5,1024,6273,2504,9616152,141,16,1989
85431,2.25,22477647,10,1,3,2,1409,8303,9884,7598523,92,206,1830
85432,1.87,3892473,11,8,9,5,5400,389,5564,4436048,27,182,2011
85433,2.92,23224581,13,2,6,8,9753,8142,6649,7239387,155,105,1927
85434,2.31,21485492,7,7,6,1,2682,7413,5824,558959,163,189,2001
85435,2.87,20463522,2,3,4,8,2594,2089,7753,1104822,102,134,1811
85436,3.82,16417745,13,4,1,5,1329,8568,8680,2573586,225,170,1826
85437,3.99,19335707,5,4,2,9,1435,9385,5950,203160,181,135,1912
85438,3.35,9179747,1,8,8,4,5639,5490,1119,5034418,138,119,1972
85439,3.86,7251072,1,7,5,1,6332,5927,1150,134171,248,83,1925
85440,3.87,6000409,4,9,3,8,2058,9787,8026,6415222,94,72,1806
85441,2.99,10577747,13,3,6,1,4694,4798,9563,3542747,296,193,1920
85442,1.88,27144920,8,2,5,2,4413,3863,7542,9873841,6,71,1975
85443,3.26,8489358,9,3,7,4,3992,8424,9147,7462231,149,267,1954
85444,2.61,11107464,13,8,1,4,3216,7781,4951,648550,236,33,1960
85445,3.88,11155400,13,7,8,4,9578,4796,6141,5676840,161,222,1947
85446,1.87,19846697,3,1,2,2,4458,8464,6119,5159339,245,185,1827
85447,2.64,8694811,2,5,4,3,3947,2057,2080,4488562,189,136,1810
85448,3.94,13835998,1,1,3,3,8655,9185,9892,270259,60,109,1998
85449,3.18,10742646,8,7,6,5,867,4671,3102,4041619,56,115,1889
85450,2.88,2077351,14,1,5,6,4525,5271,9751,7593326,46,143,1904
85451,3.61,18736874,5,7,4,5,1388,4643,246,7043343,172,8,1863
85452,3.5,1834320,9,6,2,3,3206,6159,1156,3050221,258,184,1997
85453,1.99,16849043,12,3,4,6,1333,9568,4028,139094,201,182,1966
85454,2.87,16476394,4,4,2,4,8521,8292,6643,4227954,201,231,2015
85455,1.85,12247590,1,3,5,2,4794,8525,9577,699124,5,90,1893
85456,3.87,17574337,5,6,5,5,4177,4143,6218,1439618,112,49,1935
85457,2.97,1020195,5,7,7,7,8104,1767,7965,1893510,173,20,2001
85458,1.96,19368953,1,5,1,1,3118,6909,7950,1155225,226,249,1946
85459,2.46,28349557,13,3,6,6,1754,7175,1761,3193727,209,2,1977
85460,2.71,6066942,7,1,3,3,100,89,2592,9671789,239,34,1936
85461,3.88,29875718,12,9,3,6,6830,3809,6265,6962239,109,122,1903
85462,2.97,22510822,13,3,2,2,9146,4862,2906,6655647,222,75,1887
85463,2.78,19429398,11,6,5,4,5875,7584,8470,9507611,266,48,1971
85464,2.23,3565178,11,7,1,6,2029,9901,4528,8488161,116,101,1805
85465,3.92,24296429,4,3,7,9,3337,9404,4988,1497571,226,85,1857
85466,2,7522371,2,5,9,8,2553,8358,5708,2771025,34,293,1926
85467,1.71,17350364,11,9,9,2,2946,2237,9012,855412,106,45,1842
85468,3.73,3282303,9,7,5,5,6260,4401,737,4031024,62,71,1905
85469,1.59,15431852,5,6,6,5,6884,6708,5577,3780865,132,296,1881
85470,3.42,11263483,2,8,2,7,1064,4642,6572,1259899,170,160,1824
85471,3.17,10623032,7,3,6,8,728,8549,9158,5342348,23,143,1935
85472,2.92,12009024,12,9,1,3,40,2209,8642,9248161,143,245,1813
85473,1.96,18172891,1,1,2,3,1702,6805,643,9290062,169,205,1935
85474,2.85,18052947,1,8,6,1,9776,3271,5172,8256384,21,238,1886
85475,3.58,20346370,9,6,3,1,6339,5095,2567,9592878,238,93,1821
85476,2.79,2818570,2,1,7,1,8552,6123,86,9816001,223,92,2018
85477,1.75,7996614,4,3,2,4,6550,2824,4144,7416273,279,45,1875
85478,3.88,18127645,1,2,3,9,1661,7792,9994,786438,170,290,1899
85479,2.69,29582348,1,3,8,1,1981,3739,2617,1795319,216,228,1826
85480,3.28,10558258,2,9,6,1,2419,3930,2970,6764881,15,149,1945
85481,1.9,9725778,3,6,6,9,5243,1271,1953,3048948,48,222,1947
85482,3.93,19100469,2,3,6,6,4420,2476,4021,9608633,82,224,1897
85483,2.94,24797627,5,2,7,3,9570,3601,9128,1992943,121,153,1983
85484,2.79,15525234,10,8,1,1,5586,1890,8475,9552360,294,125,1820
85485,1.67,21474774,14,8,9,4,1309,3725,1164,5362835,54,103,1804
85486,3.08,19387057,5,3,9,3,6188,6758,9707,84435,165,196,1939
85487,2.19,20393694,7,1,8,9,546,4459,9558,4182640,165,102,1943
85488,1.86,22596296,8,9,5,5,207,8947,3831,6195480,53,143,1801
85489,3,7683401,8,1,5,7,10,5190,345,6335132,71,125,1829
85490,1.72,85384,12,5,1,2,500,6705,2907,5094593,137,24,2006
85491,2.78,28241620,13,3,6,6,6608,7148,6162,4245189,58,229,1830
85492,2.7,22657822,10,5,6,8,2667,5412,2217,6969819,152,1,1831
85493,2.19,29744046,9,9,7,1,3743,3409,5468,4252790,27,285,1860
85494,1.97,6943461,4,1,9,7,2956,6024,4672,8105008,218,74,1879
85495,1.76,18540871,2,4,9,3,4465,5122,7728,5744430,175,142,1802
85496,3.71,18283737,8,2,4,2,6516,2148,5068,2629699,16,293,1914
85497,3.7,18113957,8,6,4,2,45,8046,2918,818988,156,130,1946
85498,1.67,22187185,13,1,1,3,9576,5544,5784,4478321,276,262,1839
85499,1.83,3995576,11,6,4,8,6147,7787,7303,9635745,8,22,1893
85500,1.96,26593432,14,8,4,3,498,2640,1708,320085,152,164,1900
85501,3.87,2286237,9,1,3,5,163,24,3568,2605590,276,13,1890
85502,1.82,10786407,14,3,8,2,122,6590,9754,4823666,173,72,2013
85503,3.22,11898371,2,9,6,3,6980,3307,8046,67915,273,280,2001
85504,3.06,5597217,12,8,1,4,10000,3425,3220,1039116,213,89,1927
85505,3.46,8153224,9,6,6,1,5264,9542,4581,8176669,286,160,1854
85506,2.18,1876479,12,9,6,2,6265,2871,990,8499247,121,49,1861
85507,3.68,20708864,12,4,6,9,7033,4468,9349,1587139,199,228,1805
85508,2.36,10039539,14,3,3,6,9668,5911,4392,9404038,17,114,1874
85509,3.05,16072316,12,4,1,3,8082,2418,8613,1538783,277,255,1827
85510,1.79,1050806,6,8,8,9,5403,1733,3383,7260310,76,81,1896
85511,3.04,23420622,3,5,7,3,214,9455,9119,6064547,107,252,1878
85512,3.52,4064217,8,9,3,8,1367,8367,9598,8824874,10,36,2014
85513,3.37,23521028,7,7,2,6,6638,4439,8754,1781325,285,51,1821
85514,3.78,21379895,2,2,3,9,1145,136,3577,4576860,216,184,1898
85515,2.97,9409091,2,7,1,2,4512,6559,6713,2254368,76,91,1880
85516,3.84,20400012,14,5,5,8,1616,2142,6412,6927672,171,30,1847
85517,1.67,5741683,2,7,4,2,1632,6214,4373,6601139,81,276,1950
85518,2.08,1920060,5,5,3,7,8999,6992,6382,7428194,223,209,2005
85519,2.62,4352812,6,8,7,9,5766,5030,3744,7801602,170,179,1928
85520,1.68,27787019,1,6,7,2,3932,8416,7058,7263960,273,225,1828
85521,2.21,11310373,11,4,1,5,5996,6136,3200,7014883,227,123,1841
85522,2.26,16160260,7,1,7,3,6186,2420,1638,5697420,264,65,1845
85523,2.17,661360,7,7,7,4,938,4507,3595,9962129,269,214,1809
85524,2.74,5348186,13,9,4,2,398,296,2069,8369688,173,147,1931
85525,3.28,24047336,8,8,6,5,6990,9409,5643,503707,187,147,2002
85526,3.96,16909048,3,8,6,4,396,4187,6706,9174766,24,119,1973
85527,1.72,28083591,5,1,7,7,6076,3402,9262,4352155,66,19,1983
85528,3.88,28732856,13,3,8,1,3458,2615,9735,1266147,96,217,1836
85529,3.66,5580502,8,9,7,9,5116,6496,7463,4200319,276,252,1878
85530,1.68,4259257,10,7,7,1,2093,831,2581,555019,115,181,1929
85531,3.54,24791583,14,6,9,5,234,5942,4000,6665558,243,24,1802
85532,2.34,9924155,8,8,6,3,9756,9781,7669,5581332,105,170,1974
85533,1.51,1701213,2,4,8,2,7192,4677,3901,9111370,253,2,1874
85534,1.6,20951558,13,5,7,8,848,6719,6532,7673062,130,4,1990
85535,3.14,4056341,8,8,2,1,2940,5075,1889,9067961,22,249,1859
85536,1.83,582843,14,8,7,5,4428,6914,8962,7557767,180,266,1934
85537,3.85,9446982,14,7,3,4,9529,3039,1875,4540981,146,272,1818
85538,1.65,2124164,9,6,9,7,3723,3598,9534,3295154,135,261,1826
85539,3.25,2746247,14,4,3,2,2523,9940,7977,1703768,182,122,1907
85540,2.33,13664054,14,1,7,1,904,6217,7937,6296571,111,239,1867
85541,2.07,22536967,14,8,8,4,5530,4158,7029,9865623,158,37,1829
85542,3.74,25127018,2,5,2,7,6241,5305,2598,5258687,107,192,1802
85543,2.65,4185681,3,9,9,1,276,3338,6617,9207849,284,25,1839
85544,3.26,13023669,2,3,5,6,5855,9544,1946,7002638,181,135,1811
85545,1.9,1497708,1,3,8,4,928,7896,1915,9653275,200,281,1981
85546,1.92,14994017,6,4,2,4,3045,2429,4746,4505097,49,264,1924
85547,2.74,1478861,11,8,6,5,1296,8074,1135,9635289,139,10,1947
85548,3.61,13532159,13,1,3,3,1176,361,3622,763129,9,287,1819
85549,3.73,23193639,14,8,3,5,7121,580,1071,1056658,193,170,1833
85550,3.38,3471441,5,2,7,9,5144,3761,7983,2235487,254,285,1858
85551,3.91,17865051,12,6,9,4,8945,1404,5246,7285234,209,53,1861
85552,3.6,14450541,10,3,7,2,6855,8965,7404,7962542,130,81,1984
85553,1.94,11318312,8,1,4,8,9968,6762,9335,1845640,174,278,1910
85554,3.18,17701868,8,7,3,6,1977,9047,2488,934469,195,187,1906
85555,2.6,14757952,4,1,4,9,1580,3492,7041,3442217,144,2,1938
85556,3.19,21456275,6,1,4,4,5804,7878,9803,8645933,207,61,1803
85557,2.29,5051082,13,7,1,9,6090,4388,4668,5637926,272,189,2004
85558,3.51,27592417,7,3,8,9,3293,8668,1617,134441,163,32,1842
85559,1.72,17600489,9,4,6,2,7227,5722,1813,1807987,159,272,1943
85560,3.88,22521269,9,2,5,6,9334,1970,2050,8649409,66,89,1884
85561,2.35,4288602,9,4,9,4,6357,9090,6994,2510457,103,292,1846
85562,3.07,15853959,5,9,4,3,2081,2673,7953,6982371,294,113,1982
85563,2.39,6058158,7,3,5,9,30,1797,8490,7397678,195,30,1983
85564,3.29,15413895,2,2,7,5,8870,513,8205,5706512,123,117,1969
85565,3.46,16504421,2,6,9,7,2524,8935,4682,2035302,278,89,1824
85566,2.38,27509742,3,6,3,6,820,3387,6486,7216479,155,198,1922
85567,2.78,10335796,10,3,2,9,3380,62,9631,3505094,65,269,1974
85568,3.77,16060094,2,5,9,4,1622,1418,5524,5437738,61,123,1931
85569,3.95,24991784,14,7,1,4,244,3986,2974,6501776,299,191,1947
85570,1.77,12628639,7,3,5,1,9185,6141,5265,356234,229,130,1909
85571,1.84,1590225,13,9,1,4,663,624,2996,9451815,74,208,1840
85572,2.78,20312189,14,6,1,4,8573,4562,5631,920808,133,191,1914
85573,2.22,3152372,7,5,7,9,9285,5217,3513,213074,66,148,1979
85574,2.48,26387961,11,7,6,9,25,8747,5032,7704330,249,50,1904
85575,2.42,10252849,3,2,5,8,7914,4707,2307,1665419,27,64,1964
85576,2.77,3411598,4,5,4,3,2885,7466,7508,3276492,240,151,1963
85577,3.84,3702769,6,4,7,7,8863,5509,5916,4093515,86,189,1980
85578,3.01,11766692,2,8,7,6,943,9120,1120,5365450,268,180,1844
85579,2.22,14329713,14,4,3,4,9683,5969,1005,4327665,41,236,1981
85580,3.83,15918102,8,6,3,5,1430,2158,3080,8536596,115,130,1920
85581,3.43,20748853,8,8,6,8,1010,9415,6809,382551,168,296,1839
85582,2.87,28111281,7,3,9,5,8974,7824,7582,1166606,159,248,2004
85583,3.46,28076881,9,4,1,6,8141,2166,8176,8979862,210,96,1868
85584,1.81,7030044,3,5,4,8,8823,2954,3283,7754456,146,93,1955
85585,2.02,7276327,13,6,9,6,5582,4978,8532,4881707,20,213,1874
85586,1.99,5562143,3,4,3,6,2760,4586,7586,5317657,248,52,1930
85587,1.91,9576211,10,5,1,1,1540,8896,1056,4676292,114,69,1986
85588,2.1,13059934,9,9,5,1,1045,7072,4257,688858,59,156,1829
85589,2.02,21265608,3,5,7,3,1909,3394,948,3652906,229,293,1803
85590,3.02,2865424,11,6,4,7,9019,5434,3441,6636538,149,63,1825
85591,3.23,15737232,10,4,6,1,4041,897,1428,4861770,279,267,2009
85592,2.76,4520483,11,3,2,5,1705,5360,2340,7576980,62,239,1836
85593,3.61,5474747,4,2,6,3,10001,6039,9582,1658648,71,194,1959
85594,2.76,8416923,13,7,9,1,6683,169,6972,3840406,31,183,1810
85595,2.89,3319940,11,9,7,6,5043,310,2955,9084843,211,219,1997
85596,3.44,15496320,2,6,4,3,2031,978,497,2844663,119,36,1974
85597,1.84,9921770,9,9,5,4,6617,1535,5156,6028769,231,155,1803
85598,3.24,25397014,7,6,1,1,3951,5833,9431,4534913,35,35,1893
85599,3.61,19074353,7,3,2,1,8901,2679,6990,3516954,161,264,1842
85600,1.83,28913633,12,7,5,4,3680,5172,8872,5987103,191,291,1895
85601,2.19,23906383,7,4,1,7,236,1382,9801,289761,264,274,1970
85602,1.55,23704277,8,2,5,7,3934,535,7503,6953911,142,170,1902
85603,3.68,19599431,4,6,1,2,5828,4421,1506,5920524,50,100,1869
85604,3.63,16481812,6,5,8,9,8687,3017,8647,5157178,255,236,1841
85605,3.48,3848376,10,2,2,2,4446,9318,7302,4798400,119,92,1862
85606,3.78,24187373,7,1,2,2,4307,5215,4046,8058490,78,154,2000
85607,3.28,5561160,4,7,6,7,6724,646,8331,5484513,252,28,1902
85608,2.47,19161279,14,6,5,5,6632,5146,2672,9169326,85,217,1904
85609,1.8,27111061,8,6,1,4,2605,2865,2945,6728941,118,102,1903
85610,3.71,19859038,4,5,6,9,3574,5524,3410,5101479,223,153,1953
85611,3.32,23551595,7,2,2,7,2319,9435,495,3791355,63,248,1933
85612,1.6,29304335,8,3,2,6,1205,3481,436,2333429,53,244,1993
85613,2.49,3329334,6,4,1,1,5497,6673,6734,8713612,265,203,2013
85614,3.88,15881408,5,7,1,3,7865,9192,2462,1127779,65,29,1886
85615,1.69,13812008,3,7,5,4,9311,1194,2017,2189981,198,79,1991
85616,1.86,26149265,4,1,8,9,755,9209,820,7875465,216,227,1989
85617,2.59,8414511,1,9,9,2,3787,9161,9864,9828792,43,279,1980
85618,3.1,1172490,3,5,3,9,5465,5475,8935,8451418,145,75,1816
85619,2.33,27737003,3,1,7,5,2611,7147,3701,5612789,68,280,1912
85620,2.94,17133728,1,2,7,3,7687,1385,5504,6024537,208,117,1919
85621,1.86,24618115,1,3,5,8,2629,6130,9996,6108318,258,224,1821
85622,2.54,10941415,12,8,5,1,8775,5219,361,7448633,297,283,1889
85623,1.72,7263018,10,9,4,9,6738,8046,5516,882333,97,288,2003
85624,3.56,702841,4,5,2,2,7538,1855,7112,2494678,27,173,1836
85625,2.74,7296732,7,5,8,8,98,2321,2692,8014719,108,229,1867
85626,3.08,16941594,9,4,8,7,5488,4430,9069,1347103,172,62,1897
85627,2.14,7818544,10,6,2,8,904,152,5661,832462,237,259,1808
85628,1.93,6563763,6,5,1,9,1026,8377,5351,7921529,216,89,1898
85629,2.96,18163978,4,4,3,5,8499,7354,3217,67292,253,105,1869
85630,1.54,16721842,1,6,5,5,6973,7591,3867,2760020,75,129,2004
85631,1.55,14998767,3,3,1,4,8456,2153,7077,863122,164,154,1991
85632,3.28,22345036,3,8,5,6,6218,9865,2574,2585575,240,135,1849
85633,1.91,3289245,8,8,4,9,7665,2344,4528,1195900,193,89,1880
85634,2.12,7656375,9,8,4,6,839,4518,1789,5552737,291,236,1884
85635,3.34,25834302,3,8,3,9,5980,9161,4128,446034,256,71,1832
85636,1.76,23654431,5,4,1,8,4834,3024,4206,522233,134,81,1965
85637,3.86,6442558,2,2,1,1,763,1659,3259,3251091,110,100,1859
85638,1.52,6618538,12,2,7,7,1249,3567,8667,6546797,27,29,1923
85639,3.23,10850246,4,8,2,5,8317,4830,5744,9444595,23,30,1849
85640,2.36,1484483,1,1,7,7,3096,121,7644,30466,137,14,1902
85641,2.19,8004272,8,3,3,5,1657,3479,8021,3671133,221,299,1981
85642,2.2,8578145,5,8,9,8,9425,7225,2295,5736931,245,254,1914
85643,3.09,12653752,12,8,6,2,2101,7588,2224,6757952,79,217,1823
85644,1.87,7215761,1,4,6,5,3776,4976,9218,6884237,62,280,1811
85645,1.7,4346921,7,9,4,2,7888,8069,2942,8720254,52,155,1995
85646,2.94,19659724,4,7,8,3,7811,8628,5255,5663565,179,20,1820
85647,3.33,15292964,6,7,4,9,5673,7760,7535,4640953,94,93,1996
85648,3.76,20882283,6,4,2,2,8389,6524,6127,5202522,111,126,1978
85649,2.7,2169396,5,6,1,7,3588,1913,6211,123398,94,192,1931
85650,2.5,25809768,13,9,2,1,7756,9056,7204,1028514,108,268,1888
85651,1.82,8469570,13,6,6,3,2360,9917,2630,6078938,268,185,1957
85652,3.81,17399533,9,1,6,8,4773,9809,5787,426505,70,254,1809
85653,3.96,58566,9,5,2,5,2497,7961,8885,6565023,140,215,1927
85654,1.63,12908885,5,8,3,5,2245,1544,3045,491630,60,59,1851
85655,2.75,20521132,13,1,9,5,7475,1918,4502,8807424,125,46,1803
85656,3.19,29659999,4,6,9,3,2834,7044,10,836336,155,20,1991
85657,2.7,437566,12,6,1,4,8596,5455,6051,7204786,16,149,1866
85658,3.89,17156963,10,8,6,1,2040,8259,9390,7978803,137,200,1831
85659,3.39,7894233,7,1,6,3,8400,6657,7270,2760319,285,44,1919
85660,1.85,25644828,7,4,4,3,6407,2217,9797,4044258,224,290,1939
85661,1.78,7453779,11,7,8,3,7163,7342,9818,1906364,110,141,1844
85662,1.68,19333771,7,6,3,1,4807,8307,2437,5476900,268,290,2000
85663,3.59,9190578,5,3,2,7,2865,7628,5035,5060700,256,176,1835
85664,1.58,677866,8,3,4,3,5845,3235,1597,7046357,261,288,2015
85665,1.54,12644342,13,5,7,1,3042,175,8981,2136199,105,5,1870
85666,2.12,6332733,6,8,7,2,3473,5082,7865,5347626,200,57,1886
85667,1.88,21729608,11,3,5,6,6173,7670,1509,7839645,257,99,1879
85668,2.48,1279157,3,3,1,2,4515,1490,9327,7656211,64,236,1924
85669,2.18,10177550,6,2,5,9,1456,4811,7094,6470823,151,145,1831
85670,2.65,13255700,6,2,2,1,6490,5678,6692,7965237,23,270,1959
85671,2.2,2861686,1,3,6,8,1247,6401,1924,6374758,101,194,1859
85672,3.33,22672560,6,9,7,6,551,3773,8642,5795649,8,39,1987
85673,2.63,22100780,10,9,8,7,7268,4912,3263,8512628,250,82,1948
85674,2.06,29434593,13,7,8,3,5151,9657,6697,5352081,228,57,1962
85675,1.68,18832229,8,2,8,4,4314,8546,1142,1377252,256,246,1909
85676,2.21,12007396,4,9,4,6,23,8736,4073,6652050,158,83,1846
85677,2.48,13571979,10,1,3,3,9500,3293,6276,1736278,70,242,2007
85678,2.69,8046389,8,1,2,2,613,5865,9993,3710018,135,265,1839
85679,1.66,26325873,8,1,5,9,4278,1114,5373,6611979,121,204,1975
85680,2.78,13680649,13,1,3,2,2343,6360,3107,5259443,243,136,1812
85681,2.27,8732674,2,3,1,4,534,7599,1386,1132034,70,199,1957
85682,3.36,2530864,5,9,6,3,9327,2716,6577,6255902,89,30,1880
85683,2.79,16394867,6,2,7,7,1458,3266,6249,3095635,176,131,1883
85684,2.25,15841817,14,9,9,7,7326,8231,8291,9938781,259,289,2000
85685,3.61,21813117,9,9,7,1,5884,6709,1440,2380491,92,288,1865
85686,2.24,7668953,14,5,2,7,2262,1987,4149,1913277,52,194,1888
85687,3.48,16559439,12,1,3,5,8071,1425,2564,9840244,9,178,1819
85688,2.07,6908806,1,5,3,5,1807,1044,9202,5791274,294,72,1871
85689,3.42,4286576,10,4,3,7,8770,3343,2449,3842050,159,184,1856
85690,1.9,15583851,2,8,9,3,2102,1706,3175,6786713,186,160,1848
85691,3.6,27338142,10,9,5,7,3697,9051,5771,5657954,121,7,2003
85692,1.8,5843907,9,6,2,1,7669,8798,423,4640312,142,88,1919
85693,1.54,9811966,4,5,6,1,5201,4507,5454,5216344,169,182,2006
85694,3.46,14329322,1,9,6,1,7549,9397,9472,2304853,188,200,1846
85695,2.77,22114853,13,7,2,7,5417,6653,9676,8225710,115,173,1887
85696,2.93,18341900,5,2,1,7,2029,125,1490,6475940,164,179,1898
85697,3.02,3583585,14,5,1,8,2368,1633,9811,4514930,32,292,1978
85698,3.32,19605579,1,2,5,6,683,7060,1025,6603609,51,108,1923
85699,2.31,9466542,1,2,8,5,9863,2051,8828,6604143,84,52,1864
85700,3.66,17664376,11,1,2,2,2956,8206,8278,9629287,86,133,1927
85701,3.09,5728120,8,8,2,6,8976,6476,9732,8514782,161,45,1878
85702,2.62,28729152,5,9,8,5,1128,131,6870,5475788,110,206,2016
85703,2.62,20081002,6,5,9,6,9479,4126,3113,9993669,195,184,1837
85704,3.49,2798186,10,4,7,8,72,9575,648,1116062,39,276,1929
85705,1.51,29509644,10,2,4,7,2888,5330,6449,1595517,160,206,1887
85706,2.27,18668420,12,3,8,8,8586,4649,9170,3456354,122,65,1960
85707,3.7,15767989,4,4,6,9,7210,9153,2533,9506300,187,203,1977
85708,2.78,23096133,13,5,7,3,9711,7992,9259,5596353,293,22,1998
85709,3.96,6200363,3,3,6,7,6049,4420,5913,8976332,107,91,1967
85710,3.96,4035016,1,4,1,6,4918,7625,909,1244142,115,37,1994
85711,1.62,29251058,7,4,3,8,1197,5451,5275,1363620,197,42,1808
85712,2.79,22180208,10,7,5,6,7197,2637,3851,5092668,204,99,1996
85713,3.26,28574729,1,3,1,8,4255,2946,757,8396190,90,255,1983
85714,1.73,4164595,14,4,2,8,4102,8652,2146,6558032,79,266,1967
85715,3.54,2138447,5,5,8,1,4527,42,3900,4622681,179,16,1883
85716,3.67,4005707,4,8,9,2,6588,7816,9047,2158992,187,156,1920
85717,3.02,10154236,10,2,9,5,8313,3558,881,1618925,206,27,1941
85718,3.04,2231497,7,2,2,2,9471,3829,1359,8282695,217,141,1954
85719,3.59,19958656,1,4,3,9,9261,8645,1903,1382822,158,295,1803
85720,2.96,6182723,13,9,3,3,1999,1193,769,2691729,266,273,1826
85721,1.52,16330599,1,7,2,7,2864,4878,8051,6777269,277,61,1910
85722,1.72,8165965,9,6,8,6,5571,1659,3623,4368548,52,62,1837
85723,2.69,18258388,6,3,9,5,4370,6571,9269,7075139,48,293,2006
85724,2.11,19735299,11,7,7,7,4737,2872,2777,765379,223,110,1970
85725,1.99,26601845,6,1,4,9,1486,1857,753,312486,274,185,1831
85726,1.64,28744013,2,2,2,3,3008,9258,9632,4367409,295,12,1842
85727,3.84,29888758,9,3,3,6,9249,1434,2656,4303779,150,291,1987
85728,2.68,24098895,6,7,1,1,9424,553,9796,8282381,32,230,1802
85729,2.88,20594772,13,9,4,9,6221,6613,9921,1748034,33,204,2008
85730,2.19,19383330,6,2,2,3,1219,6320,4091,3563146,122,208,1943
85731,2.61,10175042,13,4,6,8,6350,2720,2847,1247178,96,104,1891
85732,2.52,4446211,7,2,7,1,1999,6299,245,3376927,105,11,1950
85733,3.2,15723779,11,8,3,4,212,776,5890,5598307,237,239,1903
85734,3.79,15943783,12,8,4,4,9538,3452,9760,9746019,134,238,1808
85735,1.85,27674165,5,2,7,7,3285,2684,4207,8186200,58,111,1821
85736,3,5842572,10,1,4,7,5586,7019,7879,7080273,118,33,1888
85737,2.96,28855671,6,3,5,7,1549,228,6170,3277517,270,153,1932
85738,2.65,13163334,4,4,5,8,4960,6524,2221,4803838,137,283,1957
85739,3.55,9184609,11,4,2,9,9335,892,3328,1355385,229,210,1943
85740,1.93,22688675,11,3,7,8,8398,6010,9879,7626044,202,77,1908
85741,1.53,10412965,9,8,9,1,1121,4668,3569,6823592,42,118,1908
85742,1.98,22220410,7,3,3,4,9944,1019,4509,5534871,163,169,1959
85743,3.86,24785288,3,6,8,2,3074,1385,6209,2619667,49,247,1992
85744,3.89,10726057,7,5,6,5,6883,7826,6640,502461,236,19,1867
85745,2.42,24107163,12,2,7,4,1732,8383,9809,1135509,119,57,1924
