points,tags,tag_dict,tag_vect,problem_id_enc,level_enc
  (0, 46)	0.566252322613166
  (0, 33)	0.3939882491157749
  (0, 16)	0.4208489177176026
  (0, 15)	0.4208489177176026",4331,5
1000.0,graphs,['graphs'],"  (0, 32)	1.0",1252,1
2500.0,"brute force,graphs","['brute force', 'graphs']","  (0, 32)	0.5707635151461694
  (0, 27)	0.4740706732749132
  (0, 7)	0.4740706732749132
  (0, 6)	0.4740706732749132",4353,4
2000.0,"data structures,divide and conquer,greedy","['data structures', 'divide and conquer', 'greedy']","  (0, 62)	0.3005261573653176
  (0, 33)	0.28725250038146305
  (0, 20)	0.4614733567762566
  (0, 19)	0.4614733567762566
  (0, 16)	0.30683631851591087
  (0, 15)	0.30683631851591087
  (0, 12)	0.4614733567762566",10,3
500.0,"implementation,sortings","['implementation', 'sortings']","  (0, 56)	0.8167076220666944
  (0, 35)	0.5770516961747584",3363,1
2500.0,"data structures,implementation,string suffix structures,two pointers","['data structures', 'implementation', 'string suffix structures', 'two pointers']","  (0, 64)	0.3633778816672556
  (0, 63)	0.3633778816672556
  (0, 62)	0.3607282900142471
  (0, 60)	0.3633778816672556
  (0, 59)	0.3633778816672556
  (0, 58)	0.3633778816672556
  (0, 46)	0.29268047962064137
  (0, 35)	0.17135114166867166
  (0, 16)	0.21752540019082975
  (0, 15)	0.21752540019082975",1807,4
1500.0,"brute force,constructive algorithms","['brute force', 'constructive algorithms']","  (0, 27)	0.3874488343122914
  (0, 14)	0.42803823909013083
  (0, 13)	0.42803823909013083
  (0, 7)	0.3874488343122914
  (0, 6)	0.3874488343122914
  (0, 2)	0.42803823909013083",860,1
2500.0,math,['math'],"  (0, 37)	1.0",94,5
2500.0,data structures,['data structures'],"  (0, 62)	0.569352944945379
  (0, 16)	0.5813076741631853
  (0, 15)	0.5813076741631853",2443,4
1500.0,"dp,games","['dp', 'games']","  (0, 28)	0.8588402120288889
  (0, 21)	0.5122435848326194",924,2
1000.0,implementation,['implementation'],"  (0, 35)	1.0",3324,1
500.0,math,['math'],"  (0, 37)	1.0",4475,0
2500.0,data structures,['data structures'],"  (0, 62)	0.569352944945379
  (0, 16)	0.5813076741631853
  (0, 15)	0.5813076741631853",3170,4
500.0,implementation,['implementation'],"  (0, 35)	1.0",4940,0
1500.0,"dp,greedy,implementation","['dp', 'greedy', 'implementation']","  (0, 35)	0.5128543624762141
  (0, 33)	0.6095005226611119
  (0, 21)	0.6045572890677503",5105,2
2500.0,"brute force,combinatorics,dp,number theory","['brute force', 'combinatorics', 'dp', 'number theory']","  (0, 68)	0.3972982100498132
  (0, 43)	0.3972982100498132
  (0, 42)	0.3972982100498132
  (0, 27)	0.30668874428601384
  (0, 21)	0.28958607183068724
  (0, 11)	0.4005350749436552
  (0, 7)	0.30668874428601384
  (0, 6)	0.30668874428601384",3144,4
2000.0,"binary search,brute force,constructive algorithms,greedy,sortings","['binary search', 'brute force', 'constructive algorithms', 'greedy', 'sortings']","  (0, 56)	0.3183992875552812
  (0, 52)	0.31397828281594653
  (0, 33)	0.2673623370308808
  (0, 27)	0.2808560448721676
  (0, 14)	0.31027871615172814
  (0, 13)	0.31027871615172814
  (0, 7)	0.2808560448721676
  (0, 6)	0.2808560448721676
  (0, 4)	0.31866747043557747
  (0, 3)	0.31866747043557747
  (0, 2)	0.31027871615172814",4817,3
500.0,"implementation,math","['implementation', 'math']","  (0, 37)	0.7637024449468292
  (0, 35)	0.6455684127822824",3511,0
750.0,implementation,['implementation'],"  (0, 35)	1.0",3325,1
1750.0,"dfs and similar,graphs","['dfs and similar', 'graphs']","  (0, 55)	0.4917454284181643
  (0, 32)	0.5239840654919845
  (0, 18)	0.4917454284181643
  (0, 17)	0.4917454284181643",1710,3
2000.0,"constructive algorithms,divide and conquer","['constructive algorithms', 'divide and conquer']","  (0, 20)	0.46800962638069854
  (0, 19)	0.46800962638069854
  (0, 14)	0.3380833077043767
  (0, 13)	0.3380833077043767
  (0, 12)	0.46800962638069854
  (0, 2)	0.3380833077043767",3678,3
500.0,"binary search,greedy,sortings","['binary search', 'greedy', 'sortings']","  (0, 56)	0.4622056140844986
  (0, 52)	0.4557878446664063
  (0, 33)	0.38811761835041586
  (0, 4)	0.4625949228478003
  (0, 3)	0.4625949228478003",5217,0
2500.0,"flows,graph matchings","['flows', 'graph matchings']","  (0, 36)	0.5108440917899533
  (0, 31)	0.5108440917899533
  (0, 30)	0.5108440917899533
  (0, 26)	0.4659559438937262",2286,4
2500.0,geometry,['geometry'],"  (0, 29)	1.0",3199,4
1000.0,"data structures,implementation","['data structures', 'implementation']","  (0, 62)	0.5176610960676551
  (0, 35)	0.4163389461736369
  (0, 16)	0.5285304492255197
  (0, 15)	0.5285304492255197",3303,2
500.0,"greedy,implementation,sortings","['greedy', 'implementation', 'sortings']","  (0, 56)	0.6735367664416304
  (0, 35)	0.475893114022469
  (0, 33)	0.5655740166214763",3669,0
3000.0,"dfs and similar,dp,probabilities","['dfs and similar', 'dp', 'probabilities']","  (0, 55)	0.4263282901617682
  (0, 47)	0.572537142202257
  (0, 21)	0.3562776835869771
  (0, 18)	0.4263282901617682
  (0, 17)	0.4263282901617682",1367,4
1500.0,"brute force,greedy","['brute force', 'greedy']","  (0, 33)	0.4816573466427246
  (0, 27)	0.5059664680671668
  (0, 7)	0.5059664680671668
  (0, 6)	0.5059664680671668",903,2
2000.0,"dp,greedy","['dp', 'greedy']","  (0, 33)	0.7099799961551347
  (0, 21)	0.7042218436398824",4815,3
2000.0,"dfs and similar,dp,trees","['dfs and similar', 'dp', 'trees']","  (0, 69)	0.49762602572825015
  (0, 55)	0.4510344966862413
  (0, 21)	0.37692437824432856
  (0, 18)	0.4510344966862413
  (0, 17)	0.4510344966862413",6212,3
500.0,"dp,graphs,greedy,implementation","['dp', 'graphs', 'greedy', 'implementation']","  (0, 35)	0.4061823093422741
  (0, 33)	0.4827263799502058
  (0, 32)	0.6105169044712216
  (0, 21)	0.47881132299938767",3560,0
1000.0,"dp,graphs,shortest paths","['dp', 'graphs', 'shortest paths']","  (0, 54)	0.49831103382738545
  (0, 53)	0.49831103382738545
  (0, 45)	0.49831103382738545
  (0, 32)	0.39739499829678016
  (0, 21)	0.31166577615508095",2468,1
500.0,sortings,['sortings'],"  (0, 56)	1.0",2228,0
2000.0,"brute force,math","['brute force', 'math']","  (0, 37)	0.4799566188964724
  (0, 27)	0.5065049009231357
  (0, 7)	0.5065049009231357
  (0, 6)	0.5065049009231357",4953,2
2500.0,"data structures,geometry,sortings","['data structures', 'geometry', 'sortings']","  (0, 62)	0.40115053506247517
  (0, 56)	0.4566261444217273
  (0, 29)	0.5432033606362907
  (0, 16)	0.40957351076642984
  (0, 15)	0.40957351076642984",5344,4
500.0,number theory,['number theory'],"  (0, 68)	0.5773502691896257
  (0, 43)	0.5773502691896257
  (0, 42)	0.5773502691896257",3494,0
1500.0,"greedy,implementation","['greedy', 'implementation']","  (0, 35)	0.643835105031232
  (0, 33)	0.7651642683302863",4921,3
2500.0,greedy,['greedy'],"  (0, 33)	1.0",5909,4
2250.0,"data structures,divide and conquer,dp","['data structures', 'divide and conquer', 'dp']","  (0, 62)	0.30072665844050306
  (0, 21)	0.2851128867488997
  (0, 20)	0.4617812364796882
  (0, 19)	0.4617812364796882
  (0, 16)	0.3070410295211283
  (0, 15)	0.3070410295211283
  (0, 12)	0.4617812364796882",6323,4
2000.0,dp,['dp'],"  (0, 21)	1.0",1269,3
2000.0,"dsu,sortings","['dsu', 'sortings']","  (0, 56)	0.6223996676286626
  (0, 22)	0.7826995935451418",6393,3
750.0,implementation,['implementation'],"  (0, 35)	1.0",4262,1
500.0,math,['math'],"  (0, 37)	1.0",1188,0
2000.0,data structures,['data structures'],"  (0, 62)	0.569352944945379
  (0, 16)	0.5813076741631853
  (0, 15)	0.5813076741631853",853,3
1500.0,"constructive algorithms,divide and conquer","['constructive algorithms', 'divide and conquer']","  (0, 20)	0.46800962638069854
  (0, 19)	0.46800962638069854
  (0, 14)	0.3380833077043767
  (0, 13)	0.3380833077043767
  (0, 12)	0.46800962638069854
  (0, 2)	0.3380833077043767",627,1
2000.0,"bitmasks,graph matchings,graphs","['bitmasks', 'graph matchings', 'graphs']","  (0, 36)	0.4956087542062018
  (0, 32)	0.32981084890133155
  (0, 31)	0.4956087542062018
  (0, 30)	0.4956087542062018
  (0, 5)	0.3928621796629359",3944,3
500.0,implementation,['implementation'],"  (0, 35)	1.0",1094,0
2000.0,"data structures,trees","['data structures', 'trees']","  (0, 69)	0.5803549753622684
  (0, 62)	0.46366032425213977
  (0, 16)	0.47339582079199927
  (0, 15)	0.47339582079199927",1333,3
2000.0,"brute force,data structures,math","['brute force', 'data structures', 'math']","  (0, 62)	0.37757088939819466
  (0, 37)	0.3592377126405584
  (0, 27)	0.37910855874269783
  (0, 16)	0.3854987622288423
  (0, 15)	0.3854987622288423
  (0, 7)	0.37910855874269783
  (0, 6)	0.37910855874269783",1266,3
500.0,implementation,['implementation'],"  (0, 35)	1.0",755,0
1000.0,combinatorics,['combinatorics'],"  (0, 11)	1.0",170,1
1000.0,"brute force,implementation,schedules","['brute force', 'implementation', 'schedules']","  (0, 51)	0.7535043310702131
  (0, 35)	0.2759609454831849
  (0, 27)	0.3445174304378312
  (0, 7)	0.3445174304378312
  (0, 6)	0.3445174304378312",394,1
2500.0,"data structures,dsu,graphs,hashing,sortings","['data structures', 'dsu', 'graphs', 'hashing', 'sortings']","  (0, 62)	0.3129242836050915
  (0, 56)	0.3561989742735117
  (0, 34)	0.4767593634921418
  (0, 32)	0.37828355938657315
  (0, 22)	0.44793853031330727
  (0, 16)	0.319494768766161
  (0, 15)	0.319494768766161",4092,4
1500.0,"constructive algorithms,games,greedy","['constructive algorithms', 'games', 'greedy']","  (0, 33)	0.3579183901823078
  (0, 28)	0.5952278390545634
  (0, 14)	0.4153706158696271
  (0, 13)	0.4153706158696271
  (0, 2)	0.4153706158696271",3826,2
3000.0,"geometry,sortings","['geometry', 'sortings']","  (0, 56)	0.6434690898301128
  (0, 29)	0.7654720964432382",574,1
2000.0,"dp,math,number theory","['dp', 'math', 'number theory']","  (0, 68)	0.4959049743237831
  (0, 43)	0.4959049743237831
  (0, 42)	0.4959049743237831
  (0, 37)	0.3627421534022664
  (0, 21)	0.3614594022402384",3461,3
1500.0,"combinatorics,math,matrices","['combinatorics', 'math', 'matrices']","  (0, 38)	0.7163617418806516
  (0, 37)	0.4097530168792213
  (0, 11)	0.5647373902338106",3105,2
1500.0,dfs and similar,['dfs and similar'],"  (0, 55)	0.5773502691896257
  (0, 18)	0.5773502691896257
  (0, 17)	0.5773502691896257",4590,2
2500.0,"greedy,implementation,ternary search","['greedy', 'implementation', 'ternary search']","  (0, 66)	0.5978751205389817
  (0, 65)	0.5978751205389817
  (0, 52)	0.3568733395873236
  (0, 35)	0.2557023359597112
  (0, 33)	0.3038888207182589",1519,4
1000.0,"constructive algorithms,data structures,implementation","['constructive algorithms', 'data structures', 'implementation']","  (0, 62)	0.3670350984453102
  (0, 35)	0.29519507503319525
  (0, 16)	0.3747417508026902
  (0, 15)	0.3747417508026902
  (0, 14)	0.40713730059037684
  (0, 13)	0.40713730059037684
  (0, 2)	0.40713730059037684",602,1
1000.0,"brute force,implementation","['brute force', 'implementation']","  (0, 35)	0.41974888999677135
  (0, 27)	0.5240263572717433
  (0, 7)	0.5240263572717433
  (0, 6)	0.5240263572717433",6333,1
1500.0,"greedy,hashing,implementation","['greedy', 'hashing', 'implementation']","  (0, 35)	0.40821630361634664
  (0, 34)	0.7733014053877308
  (0, 33)	0.4851436755098091",2126,2
1500.0,"binary search,two pointers","['binary search', 'two pointers']","  (0, 52)	0.4683962475126431
  (0, 46)	0.5732456309133718
  (0, 4)	0.47539162905693094
  (0, 3)	0.47539162905693094",3364,2
1250.0,"dp,implementation","['dp', 'implementation']","  (0, 35)	0.64690165854566
  (0, 21)	0.7625734352643518",6289,2
1500.0,sortings,['sortings'],"  (0, 56)	1.0",6228,2
2500.0,"combinatorics,dp","['combinatorics', 'dp']","  (0, 21)	0.5859036619853756
  (0, 11)	0.8103807123026353",978,6
2500.0,"binary search,greedy","['binary search', 'greedy']","  (0, 52)	0.5139849270625998
  (0, 33)	0.43767425589322995
  (0, 4)	0.5216611642056371
  (0, 3)	0.5216611642056371",1272,4
1000.0,"greedy,sortings","['greedy', 'sortings']","  (0, 56)	0.765815093250802
  (0, 33)	0.6430608392285022",4394,1
1000.0,implementation,['implementation'],"  (0, 35)	1.0",4244,1
1000.0,"greedy,implementation","['greedy', 'implementation']","  (0, 35)	0.643835105031232
  (0, 33)	0.7651642683302863",5024,1
2500.0,"constructive algorithms,data structures","['constructive algorithms', 'data structures']","  (0, 62)	0.384154158879061
  (0, 16)	0.39222026091307066
  (0, 15)	0.39222026091307066
  (0, 14)	0.426126787108597
  (0, 13)	0.426126787108597
  (0, 2)	0.426126787108597",5587,4
1000.0,"2-sat,dfs and similar,dsu,graph matchings,greedy","['2-sat', 'dfs and similar', 'dsu', 'graph matchings', 'greedy']","  (0, 55)	0.20794112366237955
  (0, 50)	0.382169854455015
  (0, 36)	0.33296007989990684
  (0, 33)	0.17519490611841618
  (0, 31)	0.33296007989990684
  (0, 30)	0.33296007989990684
  (0, 22)	0.26237296879991456
  (0, 18)	0.20794112366237955
  (0, 17)	0.20794112366237955
  (0, 1)	0.382169854455015
  (0, 0)	0.382169854455015",5387,1
1000.0,math,['math'],"  (0, 37)	1.0",4529,1
500.0,"games,math","['games', 'math']","  (0, 37)	0.5135825748776551
  (0, 28)	0.8580401731749148",5255,0
1000.0,dp,['dp'],"  (0, 21)	1.0",2998,2
2500.0,"data structures,geometry,two pointers","['data structures', 'geometry', 'two pointers']","  (0, 62)	0.3833222293455449
  (0, 46)	0.5265895931461848
  (0, 29)	0.5190618109350558
  (0, 16)	0.39137086331797727
  (0, 15)	0.39137086331797727",2573,3
500.0,implementation,['implementation'],"  (0, 35)	1.0",1199,0
1000.0,"brute force,strings","['brute force', 'strings']","  (0, 61)	0.5850532379797061
  (0, 27)	0.4682281170289618
  (0, 7)	0.4682281170289618
  (0, 6)	0.4682281170289618",3367,1
2000.0,data structures,['data structures'],"  (0, 62)	0.569352944945379
  (0, 16)	0.5813076741631853
  (0, 15)	0.5813076741631853",1264,3
1000.0,"brute force,math","['brute force', 'math']","  (0, 37)	0.4799566188964724
  (0, 27)	0.5065049009231357
  (0, 7)	0.5065049009231357
  (0, 6)	0.5065049009231357",1440,1
2500.0,"constructive algorithms,data structures,dsu,greedy","['constructive algorithms', 'data structures', 'dsu', 'greedy']","  (0, 62)	0.3204382028718337
  (0, 33)	0.30628506949158973
  (0, 22)	0.45869440363340075
  (0, 16)	0.3271664581313911
  (0, 15)	0.3271664581313911
  (0, 14)	0.3554492348984694
  (0, 13)	0.3554492348984694
  (0, 2)	0.3554492348984694",4339,4
1500.0,"data structures,dfs and similar,dp,greedy,trees","['data structures', 'dfs and similar', 'dp', 'greedy', 'trees']","  (0, 69)	0.3895324077950013
  (0, 62)	0.3112073302933372
  (0, 55)	0.35306142446163474
  (0, 33)	0.29746190663574373
  (0, 21)	0.29504940060013407
  (0, 18)	0.35306142446163474
  (0, 17)	0.35306142446163474
  (0, 16)	0.3177417645090242
  (0, 15)	0.3177417645090242",1540,2
2000.0,"2-sat,dfs and similar,dsu,graphs","['2-sat', 'dfs and similar', 'dsu', 'graphs']","  (0, 55)	0.25109443661209574
  (0, 50)	0.46148026231845224
  (0, 32)	0.26755608921806373
  (0, 22)	0.3168223371247297
  (0, 18)	0.25109443661209574
  (0, 17)	0.25109443661209574
  (0, 1)	0.46148026231845224
  (0, 0)	0.46148026231845224",4555,3
2500.0,brute force,['brute force'],"  (0, 27)	0.5773502691896257
  (0, 7)	0.5773502691896257
  (0, 6)	0.5773502691896257",2720,3
2000.0,"dfs and similar,dsu,greedy","['dfs and similar', 'dsu', 'greedy']","  (0, 55)	0.43429459421761624
  (0, 33)	0.36590261378613653
  (0, 22)	0.547978004599219
  (0, 18)	0.43429459421761624
  (0, 17)	0.43429459421761624",3692,3
2000.0,"binary search,hashing,string suffix structures,strings","['binary search', 'hashing', 'string suffix structures', 'strings']","  (0, 64)	0.35337157368065164
  (0, 63)	0.35337157368065164
  (0, 62)	0.20718514471223579
  (0, 61)	0.2599331064646688
  (0, 60)	0.35337157368065164
  (0, 59)	0.35337157368065164
  (0, 58)	0.35337157368065164
  (0, 52)	0.23256241762113644
  (0, 34)	0.31565929169846524
  (0, 4)	0.23603567952867968
  (0, 3)	0.23603567952867968",1839,2
2000.0,dp,['dp'],"  (0, 21)	1.0",4230,3
3000.0,"dp,greedy,implementation","['dp', 'greedy', 'implementation']","  (0, 35)	0.5128543624762141
  (0, 33)	0.6095005226611119
  (0, 21)	0.6045572890677503",1247,4
1000.0,"data structures,dp,greedy,sortings","['data structures', 'dp', 'greedy', 'sortings']","  (0, 62)	0.4018350464799997
  (0, 56)	0.4574053177795497
  (0, 33)	0.38408677252665113
  (0, 21)	0.38097171262739127
  (0, 16)	0.41027239490076495
  (0, 15)	0.41027239490076495",5242,1
3000.0,"binary search,dp,greedy","['binary search', 'dp', 'greedy']","  (0, 52)	0.47147355628077475
  (0, 33)	0.4014744928373954
  (0, 21)	0.39821841326718144
  (0, 4)	0.47851489666669933
  (0, 3)	0.47851489666669933",3541,5
2500.0,"dp,math","['dp', 'math']","  (0, 37)	0.7083581418227796
  (0, 21)	0.7058532020989766",1689,4
2500.0,geometry,['geometry'],"  (0, 29)	1.0",912,4
1500.0,"greedy,math","['greedy', 'math']","  (0, 37)	0.7054782744958024
  (0, 33)	0.7087315459427675",3935,2
500.0,implementation,['implementation'],"  (0, 35)	1.0",5334,0
1500.0,dfs and similar,['dfs and similar'],"  (0, 55)	0.5773502691896257
  (0, 18)	0.5773502691896257
  (0, 17)	0.5773502691896257",4584,2
2500.0,"binary search,implementation","['binary search', 'implementation']","  (0, 52)	0.5289918613907164
  (0, 35)	0.3790265050835606
  (0, 4)	0.5368922233682132
  (0, 3)	0.5368922233682132",3654,5
2500.0,dp,['dp'],"  (0, 21)	1.0",3523,4
1000.0,"implementation,sortings","['implementation', 'sortings']","  (0, 56)	0.8167076220666944
  (0, 35)	0.5770516961747584",6277,1
2500.0,"constructive algorithms,dfs and similar,dp,trees","['constructive algorithms', 'dfs and similar', 'dp', 'trees']","  (0, 69)	0.39545802133629354
  (0, 55)	0.35843223704572863
  (0, 21)	0.2995377273440963
  (0, 18)	0.35843223704572863
  (0, 17)	0.35843223704572863
  (0, 14)	0.35046117121943815
  (0, 13)	0.35046117121943815
  (0, 2)	0.35046117121943815",5153,4
750.0,greedy,['greedy'],"  (0, 33)	1.0",624,1
1000.0,"dp,math,matrices","['dp', 'math', 'matrices']","  (0, 38)	0.7780183010729851
  (0, 37)	0.4450200609750239
  (0, 21)	0.44344635360468576",3153,4
500.0,"brute force,greedy,sortings","['brute force', 'greedy', 'sortings']","  (0, 56)	0.4975589720139231
  (0, 33)	0.4178041056239121
  (0, 27)	0.43889057052688774
  (0, 7)	0.43889057052688774
  (0, 6)	0.43889057052688774",476,1
500.0,"math,number theory","['math', 'number theory']","  (0, 68)	0.5318655482034613
  (0, 43)	0.5318655482034613
  (0, 42)	0.5318655482034613
  (0, 37)	0.389046418699228",6337,0
1500.0,"dp,greedy,number theory","['dp', 'greedy', 'number theory']","  (0, 68)	0.4956036491532467
  (0, 43)	0.4956036491532467
  (0, 42)	0.4956036491532467
  (0, 33)	0.3641934891613699
  (0, 21)	0.36123976980728983",4833,2
1000.0,"brute force,dp,implementation,strings","['brute force', 'dp', 'implementation', 'strings']","  (0, 61)	0.506139840054319
  (0, 35)	0.3244658921551684
  (0, 27)	0.4050723744053428
  (0, 21)	0.38248328279624483
  (0, 7)	0.4050723744053428
  (0, 6)	0.4050723744053428",4335,0
750.0,"brute force,implementation","['brute force', 'implementation']","  (0, 35)	0.41974888999677135
  (0, 27)	0.5240263572717433
  (0, 7)	0.5240263572717433
  (0, 6)	0.5240263572717433",3787,1
1500.0,"math,probabilities","['math', 'probabilities']","  (0, 47)	0.8481937784236142
  (0, 37)	0.5296860525287339",1242,2
1000.0,binary search,['binary search'],"  (0, 52)	0.5716446613374037
  (0, 4)	0.5801820322814406
  (0, 3)	0.5801820322814406",2269,1
60.0,dp,['dp'],"  (0, 21)	1.0",2558,14
500.0,implementation,['implementation'],"  (0, 35)	1.0",2827,0
3500.0,"binary search,data structures,geometry","['binary search', 'data structures', 'geometry']","  (0, 62)	0.3375942301674217
  (0, 52)	0.3789447860836197
  (0, 29)	0.45714090928435364
  (0, 16)	0.344682711298458
  (0, 15)	0.344682711298458
  (0, 4)	0.3846042322831794
  (0, 3)	0.3846042322831794",5499,6
2000.0,"data structures,dfs and similar,trees","['data structures', 'dfs and similar', 'trees']","  (0, 69)	0.42900090042824557
  (0, 62)	0.3427397111101813
  (0, 55)	0.38883457696857643
  (0, 18)	0.38883457696857643
  (0, 17)	0.38883457696857643
  (0, 16)	0.3499362321344195
  (0, 15)	0.3499362321344195",1447,3
500.0,implementation,['implementation'],"  (0, 35)	1.0",4179,0
250.0,"combinatorics,dp,math","['combinatorics', 'dp', 'math']","  (0, 37)	0.5068584924232472
  (0, 21)	0.5050661081799452
  (0, 11)	0.6985718968197883",1888,0
2500.0,"geometry,trees","['geometry', 'trees']","  (0, 69)	0.6787866160081943
  (0, 29)	0.7343355703819231",2585,4
1000.0,greedy,['greedy'],"  (0, 33)	1.0",2388,2
2500.0,"brute force,dfs and similar,trees","['brute force', 'dfs and similar', 'trees']","  (0, 69)	0.43053059263635163
  (0, 55)	0.3902210477709391
  (0, 27)	0.3453626164066995
  (0, 18)	0.3902210477709391
  (0, 17)	0.3902210477709391
  (0, 7)	0.3453626164066995
  (0, 6)	0.3453626164066995",4798,4
1000.0,"dfs and similar,dp,games,implementation,strings,trees","['dfs and similar', 'dp', 'games', 'implementation', 'strings', 'trees']","  (0, 69)	0.37612696206647533
  (0, 61)	0.3770020162816118
  (0, 55)	0.34091109840468875
  (0, 35)	0.24168082785971293
  (0, 28)	0.4776628328049623
  (0, 21)	0.2848955118662838
  (0, 18)	0.34091109840468875
  (0, 17)	0.34091109840468875",4736,1
2500.0,data structures,['data structures'],"  (0, 62)	0.569352944945379
  (0, 16)	0.5813076741631853
  (0, 15)	0.5813076741631853",695,4
500.0,"brute force,math","['brute force', 'math']","  (0, 37)	0.4799566188964724
  (0, 27)	0.5065049009231357
  (0, 7)	0.5065049009231357
  (0, 6)	0.5065049009231357",6304,0
1000.0,"implementation,strings","['implementation', 'strings']","  (0, 61)	0.8418660827494792
  (0, 35)	0.5396864818726211",5976,1
500.0,"brute force,implementation","['brute force', 'implementation']","  (0, 35)	0.41974888999677135
  (0, 27)	0.5240263572717433
  (0, 7)	0.5240263572717433
  (0, 6)	0.5240263572717433",6216,0
1500.0,"dfs and similar,dp,dsu,ternary search,trees","['dfs and similar', 'dp', 'dsu', 'ternary search', 'trees']","  (0, 69)	0.3062139869505059
  (0, 66)	0.46005371673117446
  (0, 65)	0.46005371673117446
  (0, 55)	0.27754390715474997
  (0, 52)	0.2746073563512836
  (0, 22)	0.35019537073750123
  (0, 21)	0.23194027376708407
  (0, 18)	0.27754390715474997
  (0, 17)	0.27754390715474997",2122,2
1500.0,"math,number theory","['math', 'number theory']","  (0, 68)	0.5318655482034613
  (0, 43)	0.5318655482034613
  (0, 42)	0.5318655482034613
  (0, 37)	0.389046418699228",4881,4
1500.0,math,['math'],"  (0, 37)	1.0",4109,2
2250.0,"dfs and similar,dp,graphs,trees","['dfs and similar', 'dp', 'graphs', 'trees']","  (0, 69)	0.4485155734186616
  (0, 55)	0.4065221380187604
  (0, 32)	0.4331735696593523
  (0, 21)	0.3397259084195246
  (0, 18)	0.4065221380187604
  (0, 17)	0.4065221380187604",3960,5
3000.0,hashing,['hashing'],"  (0, 34)	1.0",393,3
750.0,"implementation,strings","['implementation', 'strings']","  (0, 61)	0.8418660827494792
  (0, 35)	0.5396864818726211",1074,1
2500.0,"dfs and similar,graphs","['dfs and similar', 'graphs']","  (0, 55)	0.4917454284181643
  (0, 32)	0.5239840654919845
  (0, 18)	0.4917454284181643
  (0, 17)	0.4917454284181643",61,4
3000.0,"binary search,sortings","['binary search', 'sortings']","  (0, 56)	0.5015198290640789
  (0, 52)	0.49455617798876783
  (0, 4)	0.5019422515930888
  (0, 3)	0.5019422515930888",826,3
2000.0,"binary search,data structures","['binary search', 'data structures']","  (0, 62)	0.37957769344396236
  (0, 52)	0.4260706344800462
  (0, 16)	0.38754770322880217
  (0, 15)	0.38754770322880217
  (0, 4)	0.4324338935130389
  (0, 3)	0.4324338935130389",2945,3
1500.0,"greedy,sortings","['greedy', 'sortings']","  (0, 56)	0.765815093250802
  (0, 33)	0.6430608392285022",491,6
500.0,"greedy,implementation,math","['greedy', 'implementation', 'math']","  (0, 37)	0.6059159597578303
  (0, 35)	0.5121892787020597
  (0, 33)	0.6087101054635212",4213,0
500.0,"greedy,implementation","['greedy', 'implementation']","  (0, 35)	0.643835105031232
  (0, 33)	0.7651642683302863",2974,0
2500.0,dp,['dp'],"  (0, 21)	1.0",4784,4
1500.0,"constructive algorithms,number theory","['constructive algorithms', 'number theory']","  (0, 68)	0.4392973494418518
  (0, 43)	0.4392973494418518
  (0, 42)	0.4392973494418518
  (0, 14)	0.37463471823457156
  (0, 13)	0.37463471823457156
  (0, 2)	0.37463471823457156",286,2
2000.0,dsu,['dsu'],"  (0, 22)	1.0",3019,3
1000.0,"implementation,math","['implementation', 'math']","  (0, 37)	0.7637024449468292
  (0, 35)	0.6455684127822824",4591,1
2000.0,"dfs and similar,graphs","['dfs and similar', 'graphs']","  (0, 55)	0.4917454284181643
  (0, 32)	0.5239840654919845
  (0, 18)	0.4917454284181643
  (0, 17)	0.4917454284181643",1974,3
1000.0,"games,greedy","['games', 'greedy']","  (0, 33)	0.5153230566136275
  (0, 28)	0.8569960019290569",6390,1
500.0,implementation,['implementation'],"  (0, 35)	1.0",920,0
1500.0,"brute force,data structures,shortest paths","['brute force', 'data structures', 'shortest paths']","  (0, 62)	0.27732064980601484
  (0, 54)	0.42037658348191187
  (0, 53)	0.42037658348191187
  (0, 45)	0.42037658348191187
  (0, 27)	0.27845004689084857
  (0, 16)	0.28314356387780387
  (0, 15)	0.28314356387780387
  (0, 7)	0.27845004689084857
  (0, 6)	0.27845004689084857",5534,2
500.0,"brute force,constructive algorithms,implementation","['brute force', 'constructive algorithms', 'implementation']","  (0, 35)	0.2964031193163125
  (0, 27)	0.3700380170165641
  (0, 14)	0.4088034526708839
  (0, 13)	0.4088034526708839
  (0, 7)	0.3700380170165641
  (0, 6)	0.3700380170165641
  (0, 2)	0.4088034526708839",5856,0
1500.0,"implementation,strings","['implementation', 'strings']","  (0, 61)	0.8418660827494792
  (0, 35)	0.5396864818726211",2894,2
2500.0,"binary search,bitmasks,data structures","['binary search', 'bitmasks', 'data structures']","  (0, 62)	0.3330717921230584
  (0, 52)	0.3738684128397767
  (0, 16)	0.34006531542046153
  (0, 15)	0.34006531542046153
  (0, 5)	0.4796134331576344
  (0, 4)	0.3794520446665901
  (0, 3)	0.3794520446665901",736,4
1000.0,"data structures,implementation","['data structures', 'implementation']","  (0, 62)	0.5176610960676551
  (0, 35)	0.4163389461736369
  (0, 16)	0.5285304492255197
  (0, 15)	0.5285304492255197",1235,1
500.0,"brute force,dp,implementation","['brute force', 'dp', 'implementation']","  (0, 35)	0.3762135261786677
  (0, 27)	0.4696755807532483
  (0, 21)	0.4434838545567469
  (0, 7)	0.4696755807532483
  (0, 6)	0.4696755807532483",2611,0
